Week,Day,Workout
1,1,Rest
1,2,3 mi run
1,3,2 mi run or cross
1,4,3 mi run
1,5,Rest
1,6,30 min cross
1,7,4 mi run
2,1,Rest
2,2,3 mi run
2,3,2 mi run or cross
2,4,3 mi run
2,5,Rest
2,6,30 min cross
2,7,4 mi run
3,1,Rest
3,2,3.5 mi run
3,3,2 mi run or cross
3,4,3.5 mi run
3,5,Rest
3,6,40 min cross
3,7,5 mi run
4,1,Rest
4,2,3.5 mi run
4,3,2 mi run or cross
4,4,3.5 mi run
4,5,Rest
4,6,40 min cross
4,7,5 mi run
5,1,Rest
5,2,4 mi run
5,3,2 mi run or cross
5,4,4 mi run
5,5,Rest
5,6,40 min cross
5,7,6 mi run
6,1,Rest
6,2,4 mi run
6,3,2 mi run or cross
6,4,4 mi run
6,5,Rest or easy run
6,6,Rest
6,7,5-K Race
7,1,Rest
7,2,4.5 mi run
7,3,3 mi run or cross
7,4,4.5 mi run
7,5,Rest
7,6,50 min cross
7,7,7 mi run
8,1,Rest
8,2,4.5 mi run
8,3,3 mi run or cross
8,4,4.5 mi run
8,5,Rest
8,6,50 min cross
8,7,8 mi run
9,1,Rest
9,2,5 mi run
9,3,3 mi run or cross
9,4,5 mi run
9,5,Rest or easy run
9,6,Rest
9,7,10-K Race
10,1,Rest
10,2,5 mi run
10,3,3 mi run or cross
10,4,5 mi run
10,5,Rest
10,6,60 min cross
10,7,9 mi run
11,1,Rest
11,2,5 mi run
11,3,3 mi run or cross
11,4,5 mi run
11,5,Rest
11,6,60 min cross
11,7,10 mi run
12,1,Rest
12,2,4 mi run
12,3,3 mi run or cross
12,4,2 mi run
12,5,Rest
12,6,Rest
12,7,Half Marathon
